pp_no,model,emotion,trial,muscle,bin,zdiff,emo_type
pp401,adult,434,trial2,brow,bin7,-0.6141198240343027,adult_fear
pp401,adult,434,trial2,brow,bin8,-0.10149914886650246,adult_fear
pp401,adult,434,trial2,brow,bin9,-0.4085696935202417,adult_fear
pp401,adult,434,trial2,cheek,bin1,-0.021835668556463406,adult_fear
pp401,adult,434,trial2,cheek,in10,0.03462340815306625,adult_fear
pp401,adult,434,trial2,cheek,bin2,0.030682532428327025,adult_fear
pp401,adult,434,trial2,cheek,bin3,0.09309313574256481,adult_fear
pp401,adult,434,trial2,cheek,bin4,0.022291416089256277,adult_fear
pp401,adult,434,trial2,cheek,bin5,-0.04666050475448069,adult_fear
pp401,adult,434,trial2,cheek,bin6,-0.05593630748073769,adult_fear
pp401,adult,434,trial2,cheek,bin7,0.008431329356670014,adult_fear
pp401,adult,434,trial2,cheek,bin8,-0.0264333569019925,adult_fear
pp401,adult,434,trial2,cheek,bin9,-0.055748646731940577,adult_fear
pp401,adult,434,trial3,brow,bin1,-0.09730989005093549,adult_fear
pp401,adult,434,trial3,brow,in10,-0.06392341116545275,adult_fear
pp401,adult,434,trial3,brow,bin2,-0.4796807670190021,adult_fear
pp401,adult,434,trial3,brow,bin3,0.5105366783966044,adult_fear
pp401,adult,434,trial3,brow,bin4,0.3648695571446574,adult_fear
pp401,adult,434,trial3,brow,bin5,-0.15051560353595306,adult_fear
pp401,adult,434,trial3,brow,bin6,-0.583561626481157,adult_fear
pp401,adult,434,trial3,brow,bin7,-0.045720337327253446,adult_fear
pp401,adult,434,trial3,brow,bin8,-0.48523100331779884,adult_fear
pp401,adult,434,trial3,brow,bin9,-0.08676231455590411,adult_fear
pp401,adult,434,trial3,cheek,bin1,-0.18830415707869702,adult_fear
pp401,adult,434,trial3,cheek,in10,0.03639278092743892,adult_fear
pp401,adult,434,trial3,cheek,bin2,-0.20453681184964678,adult_fear
pp401,adult,434,trial3,cheek,bin3,0.15259499745044755,adult_fear
pp401,adult,434,trial3,cheek,bin4,0.2030757388768693,adult_fear
pp401,adult,434,trial3,cheek,bin5,0.3076832019920567,adult_fear
pp401,adult,434,trial3,cheek,bin6,0.5343907908781618,adult_fear
pp401,adult,434,trial3,cheek,bin7,0.9417888721774812,adult_fear
pp401,adult,434,trial3,cheek,bin8,0.7897702613126247,adult_fear
pp401,adult,434,trial3,cheek,bin9,0.28166537960525784,adult_fear
pp401,adult,434,trial4,brow,bin1,0.06530565392185816,adult_fear
pp401,adult,434,trial4,brow,in10,-0.5196382153157042,adult_fear
pp401,adult,434,trial4,brow,bin2,-0.9752679583732536,adult_fear
pp401,adult,434,trial4,brow,bin3,-0.28370000943390117,adult_fear
pp401,adult,434,trial4,brow,bin4,-0.8985428527561699,adult_fear
pp401,adult,434,trial4,brow,bin5,0.22415724454259434,adult_fear
pp401,adult,434,trial4,brow,bin6,-0.5810735895196275,adult_fear
pp401,adult,434,trial4,brow,bin7,-0.6639656243575965,adult_fear
pp401,adult,434,trial4,brow,bin8,-1.1396697852927866,adult_fear
pp401,adult,434,trial4,brow,bin9,-0.499797715442994,adult_fear
pp401,adult,434,trial4,cheek,bin1,0.12333332497729861,adult_fear
pp401,adult,434,trial4,cheek,in10,-0.22791397941408648,adult_fear
pp401,adult,434,trial4,cheek,bin2,0.1629029342950885,adult_fear
pp401,adult,434,trial4,cheek,bin3,-0.15486033077521266,adult_fear
pp401,adult,434,trial4,cheek,bin4,-0.19107885529305435,adult_fear
pp401,adult,434,trial4,cheek,bin5,-0.15869397178635358,adult_fear
pp401,adult,434,trial4,cheek,bin6,-0.3080183104720515,adult_fear
pp401,adult,434,trial4,cheek,bin7,-0.22755206225569202,adult_fear
pp401,adult,434,trial4,cheek,bin8,-0.26269823963755023,adult_fear
pp401,adult,434,trial4,cheek,bin9,-0.2669072021462853,adult_fear
pp401,adult,434,trial5,brow,bin1,-0.3942368993999772,adult_fear
pp401,adult,434,trial5,brow,in10,-0.5504515961469553,adult_fear
pp401,adult,434,trial5,brow,bin2,0.4275383171927576,adult_fear
pp401,adult,434,trial5,brow,bin3,-0.7288034422695947,adult_fear
pp401,adult,434,trial5,brow,bin4,-0.4854861865959048,adult_fear
pp401,adult,434,trial5,brow,bin5,0.09497071000163437,adult_fear
pp401,adult,434,trial5,brow,bin6,-0.7223600644974282,adult_fear
